naslov,distributer,trajanje,žanri,št. dni na 1. mestu,največji dnevni zaslužek
Spider-Man: Brand New Day,Sony Pictures Releasing,2 hr 25 min,"akcijski, pustolovski, znanstvenofantastični",23,169843039
Insidious: Out of the Further,Sony Pictures Releasing,1 hr 46 min,"grozljivka, skrivnostni, triler",1,10675888
The Odyssey,Universal Pictures,2 hr 52 min,"akcijski, pustolovski, fantazijski",14,50977435
Moana,Walt Disney Studios Motion Pictures,1 hr 55 min,"akcijski, pustolovski, komedija, družinski, fantazijski, muzikal",7,18510043
Minions & Monsters,Universal Pictures,1 hr 30 min,"pustolovski, animirani, komedija, družinski",9,16506115
Toy Story 5,Walt Disney Studios Motion Pictures,1 hr 42 min,"pustolovski, animirani, komedija, drama, družinski, fantazijski",12,71109759
Obsession,Focus Features,1 hr 49 min,"grozljivka, romantični, triler",10,5634105
Disclosure Day,Universal Pictures,2 hr 25 min,"akcijski, drama, skrivnostni, znanstvenofantastični, triler",6,19159140
Scary Movie,Paramount Pictures,1 hr 40 min,"komedija, grozljivka",4,24815543
The Amazing Digital Circus: The Last Act,Fathom Entertainment,1 hr 35 min,"pustolovski, animirani, komedija, drama, grozljivka, skrivnostni, znanstvenofantastični",1,7880784
Backrooms,A24,1 hr 50 min,"grozljivka, znanstvenofantastični, triler",6,38412634
Star Wars: The Mandalorian and Grogu,Walt Disney Studios Motion Pictures,2 hr 12 min,"akcijski, pustolovski, družinski, fantazijski, znanstvenofantastični",5,33790325
Michael,Lionsgate,2 hr 7 min,"biografski, drama, zgodovinski, glasbeni",13,39290344
The Devil Wears Prada 2,Walt Disney Studios Motion Pictures,1 hr 59 min,"komedija, drama",10,32900084
Mortal Kombat II,Warner Bros.,1 hr 56 min,"akcijski, pustolovski, fantazijski, znanstvenofantastični",1,16801022
The Super Mario Galaxy Movie,Universal Pictures,1 hr 38 min,"pustolovski, animirani, komedija, družinski, fantazijski",23,51002875
Project Hail Mary,Amazon MGM Studios,2 hr 36 min,"pustolovski, komedija, drama, znanstvenofantastični",12,33118027
Dhurandhar: The Revenge,Moviegoers Entertainment,3 hr 55 min,"akcijski, kriminalni, triler",1,3978280
Hoppers,Walt Disney Studios Motion Pictures,1 hr 44 min,"pustolovski, animirani, komedija, družinski, znanstvenofantastični",12,18864597
Reminders of Him,Universal Pictures,1 hr 54 min,"drama, romantični",1,8108715
Scream 7,Paramount Pictures,1 hr 54 min,"grozljivka, skrivnostni, triler",7,29351762
Wuthering Heights,Warner Bros.,2 hr 16 min,"drama, romantični",10,14000897
GOAT,Sony Pictures Releasing,1 hr 40 min,"pustolovski, animirani, komedija, družinski, športni",4,8303784
Send Help,Walt Disney Studios Motion Pictures,1 hr 53 min,"pustolovski, grozljivka, triler",12,7111352
Solo Mio,Angel,1 hr 36 min,"komedija, romantični",1,3229877
Iron Lung,Markiplier,2 hr 5 min,"grozljivka, znanstvenofantastični",1,9000000
Mercy,Amazon MGM Studios,1 hr 39 min,"akcijski, kriminalni, drama, skrivnostni, znanstvenofantastični, triler",7,5005376
Avatar: Fire and Ash,20th Century Studios,3 hr 17 min,"akcijski, pustolovski, drama, fantazijski, znanstvenofantastični",20,16336950
Zootopia 2,Walt Disney Studios Motion Pictures,1 hr 48 min,"pustolovski, animirani, komedija, kriminalni, družinski, skrivnostni",1,3664528
28 Years Later: The Bone Temple,Sony Pictures Releasing,1 hr 49 min,"grozljivka, znanstvenofantastični, triler",1,5596864
